Total Awards,Active Issuances,Current Leased Vouchers,State
194,46,52,AK
91,45,79,AL
56,30,31,AL
NA,NA,4,AL
29,5,12,AL
98,21,88,AL
15,NA,3,AL
110,6,90,AL
44,38,27,AL
NA,1,1,AL
24,2,18,AL
15,4,3,AL
49,9,39,AL
15,4,8,AL
95,78,44,AR
24,1,23,AR
26,2,21,AR
15,9,10,AR
26,1,22,AR
NA,1,NA,AR
15,4,13,AR
15,8,9,AR
NA,NA,1,AR
NA,NA,1,AR
16,NA,15,AR
15,NA,12,AR
56,26,19,AR
NA,1,7,AR
NA,1,NA,AR
15,6,NA,AR
16,4,25,AR
15,8,12,AR
15,NA,12,AR
15,7,13,AR
46,31,10,AZ
15,2,14,AZ
26,10,13,AZ
21,1,20,AZ
30,3,18,AZ
21,1,20,AZ
34,5,23,AZ
50,28,33,AZ
28,2,27,AZ
15,1,9,AZ
30,13,20,AZ
108,28,70,AZ
72,11,63,AZ
390,162,281,AZ
172,34,127,AZ
29,4,25,AZ
39,11,34,AZ
89,46,71,AZ
70,1,22,CA
26,7,24,CA
40,3,1,CA
156,19,139,CA
43,24,19,CA
50,25,35,CA
67,56,33,CA
31,16,30,CA
78,18,78,CA
33,9,26,CA
43,26,7,CA
34,10,7,CA
46,25,15,CA
32,28,15,CA
225,71,100,CA
104,35,35,CA
264,90,165,CA
64,35,58,CA
67,38,31,CA
278,49,211,CA
29,7,10,CA
117,5,96,CA
36,25,16,CA
557,174,355,CA
89,30,75,CA
63,28,31,CA
131,26,74,CA
182,36,101,CA
153,29,110,CA
82,43,57,CA
91,36,64,CA
109,53,33,CA
114,8,78,CA
56,3,54,CA
269,156,295,CA
53,35,19,CA
33,18,8,CA
582,465,404,CA
252,133,181,CA
196,18,193,CA
480,114,498,CA
57,38,48,CA
15,4,15,CA
NA,1,2,CA
664,382,249,CA
51,20,41,CA
369,148,226,CA
25,13,21,CA
117,8,102,CA
127,26,132,CA
67,21,49,CA
116,16,102,CA
43,29,16,CA
269,68,76,CA
46,10,37,CA
117,17,28,CA
137,73,31,CA
354,187,173,CA
232,86,129,CA
68,16,31,CA
158,7,154,CA
455,294,307,CA
222,85,218,CA
201,37,157,CA
234,57,172,CA
494,344,224,CA
161,86,37,CA
"3,365","2,983","1,039",CA
515,239,476,CA
"1,964","1,960","1,963",CA
906,151,477,CA
438,212,273,CO
15,1,14,CO
42,2,41,CO
34,NA,22,CO
46,6,42,CO
74,2,73,CO
23,7,12,CO
NA,NA,1,CO
25,4,23,CO
101,9,60,CO
35,6,34,CO
190,59,128,CO
380,53,340,CT
NA,1,NA,CT
50,2,50,CT
NA,1,NA,CT
43,8,31,CT
37,13,28,CT
NA,NA,1,CT
38,2,34,CT
707,150,538,DC
38,29,9,DE
39,28,24,DE
NA,NA,1,DE
43,6,32,DE
52,7,49,FL
78,12,73,FL
34,1,31,FL
15,4,5,FL
15,1,8,FL
41,3,37,FL
104,16,26,FL
66,12,47,FL
35,6,30,FL
30,1,33,FL
85,25,76,FL
178,51,88,FL
29,4,23,FL
66,12,32,FL
33,21,5,FL
51,13,32,FL
150,29,129,FL
27,4,22,FL
108,13,84,FL
29,7,20,FL
86,10,71,FL
35,5,5,FL
35,7,16,FL
51,14,29,FL
15,4,13,FL
32,2,32,FL
85,51,41,FL
NA,1,1,FL
88,18,60,FL
NA,1,NA,FL
28,3,27,FL
60,1,58,FL
73,13,57,FL
107,28,70,FL
59,7,47,FL
31,3,25,FL
481,57,423,FL
154,39,82,FL
222,52,173,FL
79,6,75,FL
196,132,188,FL
798,261,123,GA
40,18,18,GA
113,65,40,GA
58,51,42,GA
21,5,20,GA
NA,NA,1,GA
202,94,130,GA
43,5,40,GA
53,15,37,GA
61,2,57,GA
87,9,80,GQ
182,9,171,HI
28,5,17,HI
76,6,36,HI
312,70,123,HI
110,14,51,HI
76,18,48,IA
15,1,11,IA
44,2,38,IA
69,1,59,IA
120,17,57,IA
39,1,29,IA
114,37,89,ID
NA,NA,3,ID
47,2,45,ID
41,5,35,ID
15,NA,13,ID
NA,2,NA,IL
91,14,69,IL
52,5,28,IL
48,14,36,IL
17,NA,16,IL
15,4,16,IL
15,11,6,IL
58,14,38,IL
17,2,17,IL
48,46,49,IL
30,5,15,IL
302,280,130,IL
65,1,64,IL
35,8,28,IL
113,41,83,IL
37,3,35,IL
"1,165",298,"1,081",IL
338,157,128,IN
38,5,31,IN
28,4,15,IN
NA,1,NA,IN
203,78,182,IN
26,22,15,IN
NA,1,NA,IN
28,3,27,IN
NA,2,5,IN
NA,2,NA,IN
16,18,9,IN
46,34,45,IN
62,29,27,KS
15,7,11,KS
NA,1,NA,KS
31,8,27,KS
NA,1,NA,KS
142,20,186,KS
125,32,82,KS
257,66,126,KY
15,NA,13,KY
15,1,13,KY
15,3,11,KY
15,NA,14,KY
15,NA,8,KY
15,3,18,KY
15,2,15,KY
76,28,65,KY
161,84,146,KY
144,12,125,LA
50,24,8,LA
15,1,8,LA
15,10,13,LA
15,NA,6,LA
15,4,12,LA
15,5,10,LA
NA,1,NA,LA
15,1,7,LA
15,3,13,LA
15,4,11,LA
15,3,NA,LA
15,7,14,LA
21,15,12,LA
37,2,32,LA
64,28,38,LA
44,9,29,LA
106,82,91,LA
917,306,376,MA
15,6,10,MA
27,8,7,MA
17,4,13,MA
31,6,30,MA
18,2,11,MA
24,7,16,MA
73,11,68,MA
25,11,14,MA
25,1,21,MA
128,21,90,MA
480,148,306,MA
196,132,89,MD
62,11,55,MD
NA,2,2,MD
NA,1,NA,MD
15,1,3,MD
139,7,137,MD
118,14,92,MD
278,32,249,MD
99,31,56,ME
15,1,13,ME
NA,1,NA,ME
15,12,4,ME
15,3,6,ME
15,2,15,ME
21,4,21,ME
779,115,642,MI
15,3,15,MI
42,10,37,MI
29,4,24,MI
32,9,21,MI
46,1,39,MI
16,5,20,MI
21,2,7,MI
99,52,37,MI
15,11,12,MN
15,3,12,MN
NA,1,NA,MN
NA,NA,1,MN
15,19,2,MN
NA,4,2,MN
15,2,14,MN
218,43,186,MN
16,3,13,MN
50,19,46,MN
NA,1,NA,MN
15,14,11,MN
15,10,14,MN
15,40,1,MN
48,30,45,MN
17,8,10,MN
15,8,4,MN
49,28,35,MN
246,72,211,MN
157,83,132,MN
47,35,22,MO
30,10,17,MO
63,17,34,MO
NA,1,NA,MO
15,1,10,MO
60,17,42,MO
NA,NA,1,MO
15,3,4,MO
51,6,34,MO
149,23,79,MO
30,14,29,MO
164,51,122,MO
161,68,115,MO
15,6,8,MS
126,18,110,MS
84,26,70,MS
24,5,20,MS
34,3,17,MS
56,4,50,MS
42,5,42,MS
109,61,69,MT
16,2,16,MT
414,704,108,NC
44,10,38,NC
32,40,11,NC
30,28,30,NC
NA,13,NA,NC
NA,2,1,NC
NA,17,NA,NC
NA,58,3,NC
NA,6,NA,NC
NA,32,NA,NC
15,7,9,NC
15,11,4,NC
19,7,7,NC
15,10,5,NC
NA,NA,1,NC
15,NA,NA,NC
NA,1,NA,NC
37,27,12,NC
NA,1,NA,NC
15,1,3,NC
15,5,9,NC
27,NA,26,NC
NA,10,NA,NC
NA,NA,2,NC
15,3,1,NC
NA,1,NA,NC
68,NA,6,NC
31,20,23,NC
40,26,23,NC
33,7,31,NC
26,3,12,NC
47,4,45,NC
178,104,47,NC
138,87,44,NC
27,9,30,NC
47,5,41,ND
24,6,25,ND
15,16,16,ND
15,1,3,NE
15,NA,7,NE
100,28,32,NE
142,42,109,NE
27,21,23,NH
NA,NA,1,NH
120,17,113,NH
101,36,63,NJ
33,10,33,NJ
31,NA,30,NJ
94,25,81,NJ
43,9,28,NJ
15,NA,NA,NJ
55,1,16,NJ
60,25,57,NJ
NA,NA,1,NJ
NA,1,2,NJ
NA,NA,1,NJ
27,2,25,NJ
15,NA,15,NJ
58,13,65,NJ
29,14,13,NJ
23,41,17,NJ
15,6,9,NJ
996,305,706,NJ
68,32,44,NM
15,4,6,NM
72,11,48,NM
15,NA,1,NM
41,15,10,NM
15,15,11,NM
62,27,50,NM
137,58,81,NV
47,NA,10,NV
586,53,523,NV
53,20,41,NY
NA,4,5,NY
"5,738","5,529","2,412",NY
30,8,24,NY
21,5,19,NY
24,1,21,NY
15,3,11,NY
22,7,15,NY
117,33,99,NY
15,9,14,NY
15,3,13,NY
17,6,5,NY
NA,1,NA,NY
72,14,62,NY
15,11,NA,NY
"2,050","1,699",828,NY
15,1,15,NY
15,3,12,NY
"1,566",785,"1,133",NY
15,7,4,NY
71,16,56,NY
24,18,10,NY
41,12,21,OH
246,97,141,OH
115,64,48,OH
123,14,89,OH
304,200,217,OH
339,106,207,OH
101,8,89,OH
46,20,28,OH
60,29,32,OH
61,19,46,OH
NA,NA,1,OH
17,NA,17,OH
15,2,15,OH
15,4,7,OH
24,24,17,OH
15,1,14,OH
36,17,32,OK
53,35,30,OK
30,10,31,OK
301,8,275,OK
15,NA,14,OK
28,1,26,OK
41,NA,37,OR
476,89,391,OR
41,4,21,OR
24,7,19,OR
184,78,174,OR
15,2,3,OR
34,NA,32,OR
68,5,81,OR
52,11,6,OR
50,10,47,OR
178,19,154,OR
21,NA,19,OR
57,5,54,OR
50,14,15,OR
96,18,123,OR
19,2,26,OR
58,7,31,OR
29,NA,29,OR
89,31,73,OR
142,82,66,PA
863,341,501,PA
43,4,39,PA
NA,NA,1,PA
141,46,108,PA
NA,1,NA,PA
57,8,31,PA
109,39,54,PA
41,13,29,PA
56,63,22,PA
46,15,40,PA
30,6,14,PA
15,8,10,PA
73,29,22,PA
43,2,42,PA
38,16,30,PA
40,5,33,PA
79,11,58,PA
42,12,39,RI
NA,NA,4,RI
117,18,98,RI
203,61,110,RQ
51,16,4,RQ
15,3,10,RQ
17,NA,6,RQ
16,NA,NA,RQ
16,2,15,RQ
15,NA,12,RQ
15,1,15,RQ
16,2,4,RQ
16,6,8,RQ
15,9,4,RQ
15,5,7,RQ
16,4,8,RQ
15,4,11,RQ
15,NA,1,RQ
16,11,9,RQ
16,2,5,RQ
15,16,2,RQ
16,6,9,RQ
15,3,4,RQ
16,NA,15,RQ
15,8,2,RQ
15,1,15,RQ
16,NA,14,RQ
84,32,87,SC
NA,NA,1,SC
54,41,50,SC
NA,NA,1,SC
25,3,17,SC
NA,2,4,SC
24,10,23,SC
59,4,45,SC
24,9,3,SC
259,68,188,SC
63,NA,44,SD
30,2,28,SD
20,1,9,SD
190,60,95,TN
63,30,25,TN
41,1,26,TN
198,67,104,TN
15,1,14,TN
28,4,23,TN
31,43,28,TN
325,61,110,TN
NA,1,NA,TN
15,NA,3,TN
132,4,54,TQ
105,14,81,TX
771,144,782,TX
69,3,64,TX
45,2,41,TX
36,3,28,TX
85,6,78,TX
31,1,29,TX
15,1,8,TX
33,NA,29,TX
284,106,194,TX
490,82,284,TX
242,59,212,TX
133,6,122,TX
15,NA,14,TX
NA,1,NA,TX
54,5,45,TX
30,4,15,TX
35,9,25,TX
NA,NA,1,TX
NA,NA,1,TX
36,9,27,TX
15,2,13,TX
35,1,29,TX
15,3,11,TX
40,27,35,TX
15,NA,16,TX
103,37,103,TX
15,NA,15,TX
15,3,12,TX
89,17,94,TX
108,4,114,TX
15,NA,13,TX
41,6,40,TX
243,30,205,TX
31,7,26,TX
15,3,12,TX
NA,NA,1,TX
26,1,25,TX
34,1,15,TX
40,16,27,TX
53,6,52,TX
29,NA,25,TX
27,3,22,TX
38,4,33,TX
63,8,49,TX
124,11,104,TX
798,151,117,TX
29,6,20,UT
131,4,127,UT
99,25,72,UT
NA,NA,2,UT
34,9,34,UT
40,22,32,UT
15,1,2,UT
21,3,19,UT
15,NA,15,UT
18,2,15,VA
15,7,18,VA
32,11,26,VA
48,3,43,VA
94,27,72,VA
26,7,22,VA
15,6,9,VA
15,NA,13,VA
NA,NA,1,VA
63,14,36,VA
15,2,11,VA
24,9,7,VA
169,52,153,VA
15,3,7,VA
36,3,24,VA
35,16,8,VA
53,4,46,VA
350,71,292,VA
20,14,1,VQ
NA,NA,3,VT
99,27,46,VT
498,342,540,WA
762,490,808,WA
38,4,33,WA
19,6,8,WA
135,63,73,WA
56,10,49,WA
42,18,35,WA
102,12,95,WA
54,53,48,WA
28,3,25,WA
15,7,16,WA
18,25,10,WA
21,8,20,WA
15,2,14,WA
63,9,55,WA
71,18,65,WA
75,70,61,WA
68,8,58,WA
62,22,62,WA
224,55,205,WA
15,4,17,WA
32,3,1,WA
15,2,14,WA
121,26,89,WI
69,48,22,WI
24,2,18,WI
15,1,14,WI
35,10,12,WI
45,12,43,WI
63,26,60,WI
343,81,246,WI
66,NA,51,WV
22,1,19,WV
NA,1,NA,WV
105,17,72,WV
NA,NA,1,WV
57,2,47,WY